name,description,image_url,restaurant_id
Hamburger,"A 6 ounce grassfed beef burger, lettuce, shaved onion, house pickles and mayo on a homemade brioche bun. Choice of side.",https://i.insider.com/5e503f40a9f40c39713c9540?width=750&format=jpeg&auto=webp,13
Smoked Hot Dog,"Catalpa Grove all pork hot dog - made just for us! Topped with house pickles, chives, house mayo, homemade bun. Choice of side.",https://www.nueskes.com/assets/1/6/DimLarge/443_444_Big_Dogs_Wieners_Jan2019.jpg?2302,13
The Best Damn BLT!!,"Thick sliced Bacon, local greens, MightyVine tomato and mayo on housemade texas toast. Choice of side.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive/v1/img/recipes/12/96/15/RCNa1fLaTS2U0FY3yOUq_BLT%205%20-%20final_6.jpg",13
Mushroom Melt Sandwich,"Sauteed mushrooms, baby swiss, house giardiniera on homemade caraway rye bread. Choice of side.",https://www.closetcooking.com/wp-content/uploads/2011/12/MushroomGrilledCheeseSandwich28akaTheMushroomMelt295004434.jpg,13
Smoked Turkey Salad Sandwich,"Smoke turkey breast, cheddar, mayo and house pickles on homemeade sourdough. Choice of side.",https://food.fnr.sndimg.com/content/dam/images/food/fullset/2016/12/8/0/FN_iconic-arkansas-food-burges-smoked-turkey-salad-sandwich_s4x3.jpg.rend.hgtvcom.616.462.suffix/1481216484046.jpeg,13
White Bean & Beets Sandwich (VEGAN),"Local white bean puree, seasonal pickle, house veg slaw, herb oil, homemade multigrain.",https://i.pinimg.com/236x/ff/04/f1/ff04f1461afe64c9c01e0c9bf12d2df5--sandwich-vegan-beetroot-sandwich.jpg,13
Mac and Cheese,16 oz. of elbow macaroni mixed with our special cheese blend and topped with breadcrumbs and scallions.,https://kumascorner.com/app/uploads/2016/11/Screen-Shot-2017-10-31-at-10.38.01-AM.png,14
Kuma Burger,"Bacon, sharp cheddar, fried egg, lettuce, tomato and onion.",https://kumascorner.com/app/uploads/2016/11/FN_chicago-restaurants-Kumas-Corner-Kumas-Burger_s4x3.jpg.rend_.hgtvcom.966.725-e1488565906793.jpeg,14
Mastodon Burger,"Served with bacon, barbecue sauce, sharp cheddar, and frizzled onion.",https://i.pinimg.com/originals/34/98/8c/34988c657a60693177b1a9f9232e990f.jpg,14
Slayer Burger,"Burger on a bed of fries, chili, cherry peppers, caramelized onion, andouille sausage, shredded Monterey Jack, green onion and anger.",https://kumascorner.com/app/uploads/2016/11/Slayer-Burger.png,14
Neurosis Burger,"Includes horseradish mayo, sharp cheddar, Swiss, caramelized onion, sauteed mushroom, lettuce, tomato and onion.",https://nausetfarms.com/wp-content/uploads/2016/04/Neurosis-Burger-Double-Cheese.jpg,14
Converge Burger,"4oz. Impossible burger patty, cherry tomato jam, avocado mash, vegan cheddar, roasted garlic vegan mayo, baby arugula, red onion, vegan pretzel bun.",https://kumascorner.com/app/uploads/2017/10/ConvergeFinal.jpg,14
Giddy-Up Fries,"a bub city classic with pulled pork, waffle fries, melted cheese and the works.",https://media-cdn.tripadvisor.com/media/photo-s/0c/95/c1/64/giddy-up-fries.jpg,15
Homemade Pastrami,"Cured for 10 days, smoked and sliced to order with deli rye & potato latkes, quantities limited!",https://s3.amazonaws.com/bucket.leye.co/uploads/2020/03/2020_02_03_BubCityPastrami-25-1-1.jpg,15
Double-Barrel Burger,"2 all-beef patties griddled to perfection with american cheese mustard, pickle & onion. Served with waffles.",https://pbs.twimg.com/media/COaNTYYUkAAEuqV.jpg,15
Fried Chicken Sandwich,"Original, buffalo, or nashville hot. Served with waffle fries.",https://easychickenrecipes.com/wp-content/uploads/2019/06/fried-chicken-sandwich-4-of-7.jpg,15
Pulled Pork Sandwich,"Hickory-smoked pork, served with waffle fries.",https://keviniscooking.com/wp-content/uploads/2019/05/Classic-Pulled-Pork-Sandwich-square.jpg,15
Cali Burger,"2 Burger Patties, american cheese, slice of tomato, shredded lettuce, sliced raw onion, pickles, and our house-made Cali sauce (ketchup, mayo, sweet relish, vinegar).",https://www.qsrmagazine.com/sites/default/files/styles/story_page/public/slideshow-images/slides/carl.jpg?itok=HzRmWLRo,15
Gaeng Panang Curry,Panang curry and Thai basil leaves sauteed in coconut milk with your choice of protein. Gluten-free. Spicy.,https://cdn.shopify.com/s/files/1/0076/4339/8233/files/thai-panang-curry-recipe-744x547-min.png?v=1542712351,16
Gaeng Masaman Curry,Masaman curry and potatoes sauteed in coconut milk with peanuts and chicken. Gluten-free. Spicy.,https://www.connoisseurusveg.com/wp-content/uploads/2013/10/vegan-massaman-curry-fb.jpg,16
Pad Thai,"Fresh thin rice noodles perfectly stir-fried with fried tofu, bean sprouts, eggs, green onion and ground peanuts in homemade tamarind sauce. Gluten-free.",https://tastesbetterfromscratch.com/wp-content/uploads/2018/07/Pad-Thai-8.jpg,16
Woon Sen Pad Thai,"Stir-fried bean thread noodles with fried tofu, bean sprouts, eggs, green onion and ground peanuts. Gluten-free",https://www.awanderingfoodie.com/wp-content/uploads/2020/05/Pad-Woon-Sen.jpg,16
Pad Lard Nar,Stir-fried fresh flat rice noodles with Chinese broccoli topped with gravy and choice of protein.,https://i.ytimg.com/vi/BoBqOO2y7HA/maxresdefault.jpg,16
Khao Soy,"Boiled egg noodles with fresh sliced chicken in savory coconut curry soup and garnished with crispy egg noodles, sliced onions and fresh lime.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fcdn-image.myrecipes.com%2Fsites%2Fdefault%2Ffiles%2Fstyles%2F4_3_horizontal_-_1200x900%2Fpublic%2Fmrtrending_khaosoi.jpg%3Fitok%3DfmUuS2fl,16
Panang Curry,"Coconut milk, bell peppers, and lime leaves. Popular.",https://tastesbetterfromscratch.com/wp-content/uploads/2019/12/Panang-Curry-8.jpg,17
Red Curry,"Coconut milk, bamboo shots, bell peppers, basil leaves, and eggplant. Spicy.",https://carlsbadcravings.com/wp-content/uploads/2017/02/Thai-Red-Curry-Chicken-5.jpg,17
Green Curry,"Coconut milk, bamboo shots, bell peppers, basil leaves, and eggplant. Spicy.",https://www.recipetineats.com/wp-content/uploads/2019/02/Thai-Green-Curry_5.jpg,17
Massaman Curry,"Coconut milk, potatoes, peanuts, and white onions.",https://inquiringchef.com/wp-content/uploads/2020/02/Thai-Massaman-Curry_1.jpg,17
Avocado Curry,Green curry with fresh avocado diced and basil leaves.,"https://res.cloudinary.com/sjlabs/image/upload/c_scale,q_auto,f_auto,w_1024,c_fill/l_overlay-2-star-v7,g_south_east,fl_relative,x_0.03,y_0.03,h_0.28/74126803904.jpg",17
Mango Curry,Red curry with fresh mango and basil leaves.,https://www.simplyrecipes.com/wp-content/uploads/2008/05/mango-chicken-curry-horiz-a-1800.jpg,17
Pad See Eiw,"Stir-fried wide noodles with chicken or beef with egg, Chinese broccoli, and bean sprout.",https://thewoksoflife.com/wp-content/uploads/2017/02/pad-see-ew-11-1-500x375.jpg,18
Pad Woonsen,"Stir-fried glass noodles with chicken, shrimp, egg, baby corns, mushrooms, peapods, bean sprouts, and carrots.",https://hot-thai-kitchen.com/wp-content/uploads/2020/04/PAd-woon-sen-lockdown-sm.jpg,18
Bamee BBQ Pork,"Steamed egg noodles topped with sliced BBQ pork, garlic, green onion and bean sprout.",https://highheelgourmet.files.wordpress.com/2015/07/egg-noodles-with-wontons-and-red-thai-barbecue-pork-ba-mee-kiew-moo-dang-by-the-high-heel-gourmet-4.jpg,18
Curry Crispy Noode,Crispy wide rice noodle and chicken topped with Tahi pananag curry.,https://www.seriouseats.com/recipes/images/2014/09/20140707-small-house-thai-cooking-school-khao-soi-10.jpg,18
Udon Pad Thai,"Japanese noodle, stir-fried with egg, bean sprout and onions topped with carrots, green onions and ground peanuts.","https://res.cloudinary.com/hz3gmuqw6/image/upload/c_fill,h_539,q_60,w_718/v1/goldenapron/5e595c1847d38.jpg",18
Koew Teaw Tom Yum,Thin rice noodle and chicken in a spicy tom yum soup.,https://media-cdn.tripadvisor.com/media/photo-s/07/ba/0f/84/khao-soi-khun-yai.jpg,18
Shredded Pork Beijing Style,"Served with soup, egg roll and white rice.",https://redcornerutah.com/wp-content/uploads/2019/04/img_5992.jpg,19
Moo Shu Pork,"Served with soup, egg roll and white rice.",https://tmbidigitalassetsazure.blob.core.windows.net/rms3-prod/attachments/37/1200x1200/Moo-Shu-Pork-Stir-Fry_EXPS_FT19_133911_F_0612_1.jpg,19
Stir-fried Tofu with Pork in Brown Sauce,"Served with soup, egg roll and white rice.",https://casaveneracion.com/wp-content/uploads/2012/09/pork-pechay-tofu.jpg,19
Beef with Bitter Melon,"Served with soup, egg roll and white rice.",https://images.media-allrecipes.com/userphotos/5036079.jpg,19
Stir-fried Chicken with Brown Sauce,"Served with soup, egg roll and white rice.",https://thewoksoflife.com/wp-content/uploads/2019/05/chicken-with-broccoli-10.jpg,19
Mapo Tofu,"Served with soup, egg roll and white rice.",https://cookingwithdog.com/wp-content/uploads/2017/04/mapo-tofu-00.jpg,19
Pig Oil Green Onion Cold Noodle,Pig Oil Green Onion Cold Noodle,https://omnivorescookbook.com/wp-content/uploads/2017/01/1701_Shanghai-Scallion-Oil-Noodle_006.jpg,20
Szechuan Dan Dan Noodle,Hot and spicy.,https://images.food52.com/CCD25ii3KDFMVziYRvmD4_DRQB8=/1200x675/b06bbbdf-8503-4d78-8aab-2b435c8605a9--2013-0924_CP-sichuan-dan-dan-noodle-008.jpg,20
Sand Ginger Fly Chicken,Sand Ginger Fly Chicken (bone-in).,https://s23991.pcdn.co/wp-content/uploads/2020/04/vietnamese-caramel-chicken-fp.jpg,20
Szechuan Numb Spicy Mussels,Szechuan Numb Spicy Mussels,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/07/szechuan-qi-house-of-sichuan.jpg,20
Baby Taro with Chicken,Hot and spicy (bone-in).,https://4.bp.blogspot.com/-GSbTEfNSuxg/TZ5CMnT5r5I/AAAAAAAAAhI/0ck7mmlcJRk/s1600/IMG_0724.JPG,20
Peach Crispy Shrimp,Peach Crispy Shrimp,https://4.bp.blogspot.com/-1NHEGGwmE5E/TlnB5Yl1xcI/AAAAAAAAAIw/srbd44EKYck/s1600/DSCN0198-2.jpg,20
Lo Mein,Pasta noodles with your choice of protein.,https://d1e3z2jco40k3v.cloudfront.net/-/media/mccormick-us/recipes/mccormick/b/800/beef-lo-mein.jpg?vd=20200628T063707Z&hash=9147AB1C8479EEBF359AC8D79E7D8272,21
House Special Chow Fun,"Thick rice noodle with vegetable, chicken, beef and shrimp.",https://food.fnr.sndimg.com/content/dam/images/food/fullset/2018/9/9/0/DV2901_Beef-Chow-Fung_s4x3.jpg.rend.hgtvcom.826.620.suffix/1536507709354.jpeg,21
Singapore Mai Fun,"Thin noodles stir fried with vegetable, chicken, beef, and shrimp in curry sauce. Hot and spicy.",https://www.chinasichuanfood.com/wp-content/uploads/2014/12/singapore-mei-fun-th1-1.jpg,21
Moo Shu,"A delicious Chinese crepe stuffed with egg, vegetable, and five pancakes. Served with hoisin sauce.",https://www.readyseteat.ca/sites/g/files/qyyrlu541/files/uploadedImages/VH_Moo-Shu-Pork.jpg,21
House Special Chop Suey,"Vegetable with chicken, beef and shrimp. Served with white rice.","https://cdn.shortpixel.ai/client/q_lossy,ret_img,w_1200/https://norecipes.com/wp-content/uploads/2017/04/chop-suey-010-1200x800.jpg",21
Yung Chow Fried Rice,"Chicken, shrimp, pork, egg, green pea, onion, napa cabbage, and white rice.",https://www.rotinrice.com/wp-content/uploads/2016/01/YangChow-3.jpg,21
cacio e pepe,Spaghetti with pecorino Romano cheese & coarse black pepper. Vegetarian.,https://s3-media0.fl.yelpcdn.com/bphoto/kpezulB4mSO5_fv-tLgU5g/o.jpg,22
Meatballs,Beef & veal meatballs served in house-made tomato sauce.,https://s3-media0.fl.yelpcdn.com/bphoto/Nj5mii8wZv6BkjOX6kdA3A/o.jpg,22
Beef Brociole sausage and meatball rigatoni,"Beef braciole with prosciutto, provolone, house sausage, & meatballs.",https://s3-media0.fl.yelpcdn.com/bphoto/8Op8a9LFk324qafQTh0HcQ/o.jpg,22
pappardelle with bolognese in a parmesan basket,pappardelle with bolognese in a parmesan basket,https://s3-media0.fl.yelpcdn.com/bphoto/3-lD2ND9dNFEBDLI_Csacg/o.jpg,22
Semolina Gnochi,Baked in marinara sauce & topped with mozzarella cheese.,https://s3-media0.fl.yelpcdn.com/bphoto/9cg_hTm5Cnovjd2PYB_CqQ/o.jpg,22
Tiramisu,The classic pick me up,https://s3-media0.fl.yelpcdn.com/bphoto/oMYN99DaVSzzMoVO2VQ3ig/o.jpg,22
Arincini,Rice lightly coated with breadcrumbs then deep fried,https://s3-media0.fl.yelpcdn.com/bphoto/GvLHRecVft7S0T1xuMuLNw/o.jpg,23
Pizza Tartufo,"Black truffle pate, porcini mushrooms con panna, locally-sourced sausage, basil, fior di latte mozzarella and pecorino Romano.",https://s3-media0.fl.yelpcdn.com/bphoto/36fMORqSO1gS66SqCskdwg/o.jpg,23
Prosciutto e Bufala,"San Daniele prosciutto, imported mozzarella di Bufala and basil.",https://s3-media0.fl.yelpcdn.com/bphoto/W9CYRrxU35YqJPoaZXwpZg/o.jpg,23
Barese Pizza,"Rapini, locally-sourced sausage, imported burrata, pecorino Romano and fior di latte mozzarella.",https://s3-media0.fl.yelpcdn.com/bphoto/QB1fvo9Ce4KnKcvQaewkcA/o.jpg,23
Gnocchi Sorretina,"Tomato sauce, basil, fior di latte mozzarella and Parmigiano-Reggiano.",https://s3-media0.fl.yelpcdn.com/bphoto/C55GxguaQY0lIdYzbM_PuQ/o.jpg,23
Cannoli,"Homemade cannoli shells fillet with our sweet, creamy ricotta filling.",https://s3-media0.fl.yelpcdn.com/bphoto/qIEUnrWyeUXJB9lBCi_YEw/o.jpg,23
Buratta Plate,"Creamy fresh mozzarella cheese with toasted crusty bread, marinated oven dried tomatoes, basil, and Prosciutto di Parma",https://s3-media0.fl.yelpcdn.com/bphoto/sttvEMp-tHcDLBf2fazhnA/o.jpg,24
Pennette Cardinale,"Penne pasta tossed in white wine-tomato cream reduction sauce with grilled artichokes, chicken breast, shallots, and sun-dried tomatoes",https://s3-media0.fl.yelpcdn.com/bphoto/VBkpq0yQJpNXguYz1hiUvg/o.jpg,24
Zuppa di Pesce,"Fresh seafood stew including scallops, shrimp, calamari, and salmon in a light red sauce over homemade linguini. Try it spicy!",https://s3-media0.fl.yelpcdn.com/bphoto/FAu1PFSxU3vwDqwnj6tATw/o.jpg,24
Milk & Honey Baby Back Ribs,"Baby back ribs (pork) marinated in honey and thyme. Finished in a slow braise of milk and shitake mushrooms with a touch of citrus. Smoky, fall off the bone tender. Served on a bed of shredded sweet potato",https://s3-media0.fl.yelpcdn.com/bphoto/FAu1PFSxU3vwDqwnj6tATw/o.jpg,24
Gnocchi al Brivido,"Tender potato gnocchi pasta sautéed in our homemade basil pine nut pesto, then tossed with tender chicken breast, sun-dried tomatoes, parmesan, and pine nuts",https://s3-media0.fl.yelpcdn.com/bphoto/__7kLk_ZBHlOXgEz-b3VIA/o.jpg,24
Chocolate Rasberry Cake,"Layers of rich chocolate cake, chocolate ganache and raspberry sauce",https://s3-media0.fl.yelpcdn.com/bphoto/zGpDtHuqrr3_vsbQ1C9QCA/o.jpg,24
"Magret et Confit de Canard, Sauce à L’orange","Seared Duck Breast & Leg Confit, Wild Mushrooms, Red Cabbage, Beets, Poached Pear, Sweet Potatoes, Butternut Squash Croquettes and Cranberry Orange Sauce",https://s3-media0.fl.yelpcdn.com/bphoto/HHZm3E0R-C46Eogkrv-PnA/o.jpg,25
Pâté de deux Sortes,Duck Liver Pâté with Traditional Garnish & Toast Points,https://s3-media0.fl.yelpcdn.com/bphoto/EHq2F9tMCBmeGvBG0fI63Q/o.jpg,25
Poulet Aux Romarin,"Pan Seared and Roasted Half Chicken with Rosemary, white Burgundy Wine, Garlic, Pearl Onions and Roasted Country Potatoes",https://s3-media0.fl.yelpcdn.com/bphoto/xqZwdG-biGgQ6vI-VPHD0g/o.jpg,25
Filet de Saumon Grillé,"Salmon Filet Grilled, Julienne of Vegetables, Asparagus, Potato Tournée and Mustard Sauce",https://s3-media0.fl.yelpcdn.com/bphoto/O64kZxs1d6RvmuuJRUVOEQ/o.jpg,25
Steak Grillé au Poivre,"Center Cut Grilled NY Strip Steak with Crushed Black Pepper Corn, Cognac Sauce and Pommes Frites",https://s3-media0.fl.yelpcdn.com/bphoto/nR11BIsWWgTRGynazOK_-g/o.jpg,25
Gateau aux Amondes,Baked Almonds Gateau Served Warm with Vanilla Ice Cream & Caramel Sauce,https://s3-media0.fl.yelpcdn.com/bphoto/5yypzR26SYlp1QHe7l_S4w/o.jpg,25
Roast Salmon,"mashed peas & leeks, crème fraîche beurre blanc",https://s3-media0.fl.yelpcdn.com/bphoto/W5j--VTB5HMVsgvoJ1wDXw/o.jpg,26
STEAK CLASSIQUE,maître d'hôtel butter,https://s3-media0.fl.yelpcdn.com/bphoto/I8sslEkhKHSsznX9u9ORCw/o.jpg,26
STEAK BORDELAISE,"caramelized onion, red wine sauce",https://s3-media0.fl.yelpcdn.com/bphoto/wwzsw9Cb3TFqYuq7xuWn6g/o.jpg,26
Braised Lamb Shank,Braised Lamb Shank,https://s3-media0.fl.yelpcdn.com/bphoto/eaJHg74BO61RvdeGKHn5qw/o.jpg,26
Trout Almondine,"french green beans, brown butter, lemon",https://s3-media0.fl.yelpcdn.com/bphoto/Hdhf0JvnAURaUKack4PpMA/o.jpg,26
Dessert Sampler,"Iced cream puff pastry, chocolate mousse, creme brulee",https://s3-media0.fl.yelpcdn.com/bphoto/ygD6aGTcLIW6VeHhRhy_uw/o.jpg,26
